	index	ROIName7	R	A	S	tf_label_7	tf_color_7	ROILabel17	ROIName17	tf_label_17	tf_color_17
12	13	7Networks_LH_Vis_13	-14	-44	-6	7Networks_LH_Vis_13	#781284	16	17Networks_LH_VisPeri_ExStrInf_4	17Networks_LH_VisPeri_ExStrSup_4	#ff0104
13	14	7Networks_LH_Vis_14	-42	-86	-4	7Networks_LH_Vis_14	#781285	6	17Networks_LH_VisCent_ExStr_6	17Networks_LH_VisCent_ExStr_6	#781289
14	15	7Networks_LH_Vis_15	-8	-98	-8	7Networks_LH_Vis_15	#781287	7	17Networks_LH_VisCent_Striate_1	17Networks_LH_VisCent_ExStr_7	#78128a
15	16	7Networks_LH_Vis_16	-14	-56	2	7Networks_LH_Vis_16	#781288	17	17Networks_LH_VisPeri_ExStrInf_5	17Networks_LH_VisPeri_ExStrSup_5	#ff0105
16	17	7Networks_LH_Vis_17	-46	-74	6	7Networks_LH_Vis_17	#781289	8	17Networks_LH_VisCent_ExStr_7	17Networks_LH_VisCent_ExStr_8	#78128b
17	18	7Networks_LH_Vis_18	-4	-88	2	7Networks_LH_Vis_18	#78128a	18	17Networks_LH_VisPeri_StriCal_1	17Networks_LH_VisPeri_ExStrSup_6	#ff0106
18	19	7Networks_LH_Vis_19	-24	-96	6	7Networks_LH_Vis_19	#78128b	9	17Networks_LH_VisCent_ExStr_8	17Networks_LH_VisCent_ExStr_9	#78128c
19	20	7Networks_LH_Vis_20	-14	-48	4	7Networks_LH_Vis_20	#78128c	189	17Networks_LH_DefaultC_Rsp_1	17Networks_LH_DefaultC_Rsp_1	#000084
20	21	7Networks_LH_Vis_21	-8	-74	10	7Networks_LH_Vis_21	#78128d	19	17Networks_LH_VisPeri_StriCal_2	17Networks_LH_VisPeri_ExStrSup_7	#ff0107
21	22	7Networks_LH_Vis_22	-18	-64	6	7Networks_LH_Vis_22	#781386	20	17Networks_LH_VisPeri_ExStrSup_1	17Networks_LH_VisPeri_ExStrSup_8	#ff0200
22	23	7Networks_LH_Vis_23	-40	-84	14	7Networks_LH_Vis_23	#781387	10	17Networks_LH_VisCent_ExStr_9	17Networks_LH_VisCent_ExStr_10	#78128d
23	24	7Networks_LH_Vis_24	-10	-96	18	7Networks_LH_Vis_24	#781388	11	17Networks_LH_VisCent_ExStr_10	17Networks_LH_VisCent_ExStr_11	#78128e
24	25	7Networks_LH_Vis_25	-2	-84	24	7Networks_LH_Vis_25	#781389	21	17Networks_LH_VisPeri_ExStrSup_2	17Networks_LH_VisPeri_ExStrSup_9	#ff0201
25	26	7Networks_LH_Vis_26	-12	-72	20	7Networks_LH_Vis_26	#78138a	22	17Networks_LH_VisPeri_ExStrSup_3	17Networks_LH_VisPeri_ExStrSup_10	#ff0202
26	27	7Networks_LH_Vis_27	-26	-84	22	7Networks_LH_Vis_27	#78138b	12	17Networks_LH_VisCent_ExStr_11	17Networks_LH_VisCent_ExStr_12	#781387
27	28	7Networks_LH_Vis_28	-32	-84	26	7Networks_LH_Vis_28	#78138c	65	17Networks_LH_DorsAttnA_ParOcc_2	17Networks_LH_DorsAttnA_SPL_1	#4a9c3a
