index	label	network_label	label_7network	index_17network	label_17network	network_label_17network
199	LH_Default_pCunPCC_10	Default	7Networks_LH_Default_pCunPCC_10	159	17Networks_LH_DefaultA_pCunPCC_6	DefaultA
200	LH_Default_pCunPCC_11	Default	7Networks_LH_Default_pCunPCC_11	160	17Networks_LH_DefaultA_pCunPCC_7	DefaultA
201	RH_Vis_1	Vis	7Networks_RH_Vis_1	259	17Networks_RH_DorsAttnA_TempOcc_1	DorsAttnA
202	RH_Vis_2	Vis	7Networks_RH_Vis_2	390	17Networks_RH_DefaultC_PHC_2	DefaultC
203	RH_Vis_3	Vis	7Networks_RH_Vis_3	201	17Networks_RH_VisCent_ExStr_1	VisCent
204	RH_Vis_4	Vis	7Networks_RH_Vis_4	202	17Networks_RH_VisCent_ExStr_2	VisCent
205	RH_Vis_5	Vis	7Networks_RH_Vis_5	213	17Networks_RH_VisPeri_ExStrInf_1	VisPeri
206	RH_Vis_6	Vis	7Networks_RH_Vis_6	203	17Networks_RH_VisCent_ExStr_3	VisCent
207	RH_Vis_7	Vis	7Networks_RH_Vis_7	214	17Networks_RH_VisPeri_ExStrInf_2	VisPeri
208	RH_Vis_8	Vis	7Networks_RH_Vis_8	204	17Networks_RH_VisCent_ExStr_4	VisCent
209	RH_Vis_9	Vis	7Networks_RH_Vis_9	261	17Networks_RH_DorsAttnA_TempOcc_3	DorsAttnA
210	RH_Vis_10	Vis	7Networks_RH_Vis_10	205	17Networks_RH_VisCent_ExStr_5	VisCent
211	RH_Vis_11	Vis	7Networks_RH_Vis_11	215	17Networks_RH_VisPeri_ExStrInf_3	VisPeri
