index	label	network_label	label_7network	index_17network	label_17network	network_label_17network	atlas_name	network_id
141	LH_Cont_PFCl_7	Cont	7Networks_LH_Cont_PFCl_7	132.0	17Networks_LH_ContA_PFCl_3	ContA	4S456	n/a
142	LH_Cont_PFCl_8	Cont	7Networks_LH_Cont_PFCl_8	103.0	17Networks_LH_SalVentAttnB_PFCl_3	SalVentAttnB	4S456	n/a
143	LH_Cont_PFCv_1	Cont	7Networks_LH_Cont_PFCv_1	104.0	17Networks_LH_SalVentAttnB_Ins_1	SalVentAttnB	4S456	n/a
144	LH_Cont_pCun_1	Cont	7Networks_LH_Cont_pCun_1	145.0	17Networks_LH_ContC_pCun_2	ContC	4S456	n/a
145	LH_Cont_pCun_2	Cont	7Networks_LH_Cont_pCun_2	146.0	17Networks_LH_ContC_pCun_3	ContC	4S456	n/a
146	LH_Cont_Cing_1	Cont	7Networks_LH_Cont_Cing_1	133.0	17Networks_LH_ContA_Cingm_1	ContA	4S456	n/a
147	LH_Cont_Cing_2	Cont	7Networks_LH_Cont_Cing_2	148.0	17Networks_LH_ContC_Cingp_2	ContC	4S456	n/a
148	LH_Cont_PFCmp_1	Cont	7Networks_LH_Cont_PFCmp_1	143.0	17Networks_LH_ContB_PFCmp_1	ContB	4S456	n/a
149	LH_Default_Temp_1	Default	7Networks_LH_Default_Temp_1	168.0	17Networks_LH_DefaultB_Temp_2	DefaultB	4S456	n/a
150	LH_Default_Temp_2	Default	7Networks_LH_Default_Temp_2	169.0	17Networks_LH_DefaultB_Temp_3	DefaultB	4S456	n/a
151	LH_Default_Temp_3	Default	7Networks_LH_Default_Temp_3	134.0	17Networks_LH_ContB_Temp_1	ContB	4S456	n/a
152	LH_Default_Temp_4	Default	7Networks_LH_Default_Temp_4	170.0	17Networks_LH_DefaultB_Temp_4	DefaultB	4S456	n/a
153	LH_Default_Temp_5	Default	7Networks_LH_Default_Temp_5	195.0	17Networks_LH_TempPar_1	TempPar	4S456	n/a
154	LH_Default_Temp_6	Default	7Networks_LH_Default_Temp_6	171.0	17Networks_LH_DefaultB_Temp_5	DefaultB	4S456	n/a
155	LH_Default_Temp_7	Default	7Networks_LH_Default_Temp_7	172.0	17Networks_LH_DefaultB_Temp_6	DefaultB	4S456	n/a
156	LH_Default_Temp_8	Default	7Networks_LH_Default_Temp_8	196.0	17Networks_LH_TempPar_2	TempPar	4S456	n/a
157	LH_Default_Temp_9	Default	7Networks_LH_Default_Temp_9	197.0	17Networks_LH_TempPar_3	TempPar	4S456	n/a
158	LH_Default_Temp_10	Default	7Networks_LH_Default_Temp_10	198.0	17Networks_LH_TempPar_4	TempPar	4S456	n/a
159	LH_Default_Par_1	Default	7Networks_LH_Default_Par_1	200.0	17Networks_LH_TempPar_6	TempPar	4S456	n/a
160	LH_Default_Par_2	Default	7Networks_LH_Default_Par_2	173.0	17Networks_LH_DefaultB_IPL_1	DefaultB	4S456	n/a
161	LH_Default_Par_3	Default	7Networks_LH_Default_Par_3	188.0	17Networks_LH_DefaultC_IPL_1	DefaultC	4S456	n/a
162	LH_Default_Par_4	Default	7Networks_LH_Default_Par_4	149.0	17Networks_LH_DefaultA_IPL_1	DefaultA	4S456	n/a
163	LH_Default_Par_5	Default	7Networks_LH_Default_Par_5	174.0	17Networks_LH_DefaultB_IPL_2	DefaultB	4S456	n/a
164	LH_Default_Par_6	Default	7Networks_LH_Default_Par_6	150.0	17Networks_LH_DefaultA_IPL_2	DefaultA	4S456	n/a
165	LH_Default_Par_7	Default	7Networks_LH_Default_Par_7	136.0	17Networks_LH_ContB_IPL_1	ContB	4S456	n/a
166	LH_Default_PFC_1	Default	7Networks_LH_Default_PFC_1	183.0	17Networks_LH_DefaultB_PFCv_1	DefaultB	4S456	n/a
167	LH_Default_PFC_2	Default	7Networks_LH_Default_PFC_2	184.0	17Networks_LH_DefaultB_PFCv_2	DefaultB	4S456	n/a
168	LH_Default_PFC_3	Default	7Networks_LH_Default_PFC_3	161.0	17Networks_LH_DefaultA_PFCm_1	DefaultA	4S456	n/a
169	LH_Default_PFC_4	Default	7Networks_LH_Default_PFC_4	162.0	17Networks_LH_DefaultA_PFCm_2	DefaultA	4S456	n/a
170	LH_Default_PFC_5	Default	7Networks_LH_Default_PFC_5	185.0	17Networks_LH_DefaultB_PFCv_3	DefaultB	4S456	n/a
171	LH_Default_PFC_6	Default	7Networks_LH_Default_PFC_6	141.0	17Networks_LH_ContB_PFClv_2	ContB	4S456	n/a
172	LH_Default_PFC_7	Default	7Networks_LH_Default_PFC_7	186.0	17Networks_LH_DefaultB_PFCv_4	DefaultB	4S456	n/a
173	LH_Default_PFC_8	Default	7Networks_LH_Default_PFC_8	163.0	17Networks_LH_DefaultA_PFCm_3	DefaultA	4S456	n/a
174	LH_Default_PFC_9	Default	7Networks_LH_Default_PFC_9	164.0	17Networks_LH_DefaultA_PFCm_4	DefaultA	4S456	n/a
175	LH_Default_PFC_10	Default	7Networks_LH_Default_PFC_10	187.0	17Networks_LH_DefaultB_PFCv_5	DefaultB	4S456	n/a
176	LH_Default_PFC_11	Default	7Networks_LH_Default_PFC_11	165.0	17Networks_LH_DefaultA_PFCm_5	DefaultA	4S456	n/a
177	LH_Default_PFC_12	Default	7Networks_LH_Default_PFC_12	166.0	17Networks_LH_DefaultA_PFCm_6	DefaultA	4S456	n/a
178	LH_Default_PFC_13	Default	7Networks_LH_Default_PFC_13	175.0	17Networks_LH_DefaultB_PFCd_1	DefaultB	4S456	n/a
179	LH_Default_PFC_14	Default	7Networks_LH_Default_PFC_14	176.0	17Networks_LH_DefaultB_PFCd_2	DefaultB	4S456	n/a
180	LH_Default_PFC_15	Default	7Networks_LH_Default_PFC_15	177.0	17Networks_LH_DefaultB_PFCd_3	DefaultB	4S456	n/a
181	LH_Default_PFC_16	Default	7Networks_LH_Default_PFC_16	151.0	17Networks_LH_DefaultA_PFCd_1	DefaultA	4S456	n/a
182	LH_Default_PFC_17	Default	7Networks_LH_Default_PFC_17	181.0	17Networks_LH_DefaultB_PFCl_1	DefaultB	4S456	n/a
